menu_title,ピクミンシリーズチャレンジモード大会,The Leaderboards of Pikmin Series Challenge & Mission Mode
menu_setting,表示設定,Display settings
menu_nav_on,ナビゲーションテーブル表示,Display navigation table
menu_nav_off,ナビゲーションテーブル非表示,Hide navigation table
menu_info_on,ご案内表示,Display information
menu_info_off,ご案内非表示,Hide information
menu_info2_on,お知らせ表示,Display notifications
menu_info2_off,お知らせ非表示,Hide notifications
menu_mov_on,動画リンク表示,Display video links
menu_mov_off,動画リンク非表示,Hide video links
menu_newrec_on,最新/今週トップ/人気ステージ表示,Display Latest / Top of this week / Popular stages
menu_newrec_off,最新/今週トップ/人気ステージ非表示,Hide Latest / Top of this week / Popular stages
menu_diary_on,日替わりチャレンジ表示,Display daily challenge
menu_diary_off,日替わりチャレンジ非表示,Hide daily challenge
menu_total_on,参加者総合ランキング表示,Display comprehensive player rankings
menu_total_off,参加者総合ランキング非表示,Hide comprehensive player rankings
menu_submit,このステージに投稿する,Submit this stage
menu_cnt_total,総投稿数,Total number of posts
menu_cnt_now,今週の投稿,Posts from this week
menu_cnt_prev,先週の投稿,Posts from last week
menu_limited_notice,開催予定の期間限定ランキング,Scheduled (ranking)
menu_limited_dai,第,#
menu_limited_kai,回,
menu_limited_open,開催中の期間限定ランキング,Current Ranking Lists
rank_tail,位,
menu_info,ご案内,Guidance
menu_info_welcome,ピクチャレ大会へようこそ,Welcome to the Pikmin Series Challenge Mode Leaderboard
menu_info_rule,ルール集,Rules
menu_info_discord,Discord（ピクミン界隈専用チャット）,Japanese Pikmin Discord
menu_info_contact,管理人への連絡はこちら,Contact administrator
menu_info_pik3dx,ピクミン3DXが発売された場合の対応,Information about the release of Pikmin 3DX
menu_info_cheating,不正疑惑騒動まとめ,Summary of alleged cheating
menu_info_limitedlist,期間限定チャレンジ一覧,Limited time challenges
menu_info_temporarypost,臨時投稿フォーム（要Googleアカ）,Limited time challenge submission form (Google account required)
menu_info_meetingroom,会議室入室申請フォーム,Application form for permission to enter the meeting room
menu_info_exempiton,証拠動画免除フォーム,Evidence exemption form
menu_info_functionlist,機能一覧,Function list
menu_info_questionlist,質問集,Frequently Asked Questions
menu_info_realevent,オフ会ガイドライン,Off-line guidelines
menu_info_pikminkeywords,新・ピクミンキーワード,New Pikmin Technical Terms(Japanese)
menu_info_more,▼さらに表示,▼ Expand
menu_info_less,▲折り畳む,▲ Collapse
pik3dx,ピクミン3 デラックス,Pikmin 3 Deluxe
menu_pickup_countdown,発売まであと,Time until the release
menu_pickup_amzn,巾着つきパッケージ版,Package version with drawstring bag
menu_pickup_711,キーホルダーつきパッケージ版,Package version with keychain
menu_pickup_dl,ダウンロード版,Download version
menu_pickup_pack,パッケージ版,Cartridge version
menu_info2,お知らせ,Notices
menu_mov,動画コンテンツリンク集,Video links
menu_mov_twitch1,Twitch:ピクミン,Twitch: Pikmin
menu_mov_twitch2,Twitch:ピクミン2,Twitch: Pikmin 2
menu_mov_twitch3,Twitch:ピクミン3,Twitch: Pikmin 3
menu_mov_youtubeja,YouTube:日本語,YouTube: Japanese
menu_mov_youtubeen,YouTube:英語,YouTube: English
menu_mov_nicovideo,ニコニコ動画:新着順,Nicovideo: New Pikmin Videos
menu_newrec,最新記録,Newest record
menu_newrec_link,→新着一覧,New submissions
menu_newrec_notrec,◆有効な記録はまだありません。,◆ There is no valid record yet.
menu_topscore,今週のトップスコア,Top score of the week
menu_topscore_notrec,◆今週の記録はまだありません。,◆ There is no record for this week yet.
menu_poplar,最近の人気ステージ,Recent popular stage
menu_poplar_not,◆該当ステージが存在しません。,◆ The corresponding stage does not exist.
menu_daily,今日の日替わりチャレンジ,Today's daily challenge
menu_recommend,今日のオススメ！,Recommended today!
menu_eggfortune,タマゴムシくじ,Mitite Lottery
